"Transect","year","tree.prop","tree.coh"
"EASO-01",2013,11.974,94.51
"EASO-01",2014,11.438,94.73
"EASO-01",2015,10.403,93.41
"EASO-01",2016,6.15,90.06
"EASO-01",2017,5.013,87.5
"EASO-01",2018,10.899,95.01
"EASO-01",2019,8.759,92.61
"EASO-01",2020,10.994,93.75
"EASO-01",2021,13.007,93.13
"EASO-02",2013,15.547,96.09
"EASO-02",2014,14.883,97.79
"EASO-02",2015,13.222,95.62
"EASO-02",2016,9.653,94.56
"EASO-02",2017,13.973,95.92
"EASO-02",2018,19.933,96.74
"EASO-02",2019,15.731,95.48
"EASO-02",2020,17.928,95.58
"EASO-02",2021,17.481,95.29
"EASO-03",2013,6.194,91.13
"EASO-03",2014,5.326,88.77
"EASO-03",2015,3.072,74.79
"EASO-03",2016,2.008,65.65
"EASO-03",2017,3.013,76.49
"EASO-03",2018,3.685,71.33
"EASO-03",2019,3.174,57.17
"EASO-03",2020,4.622,87.55
"EASO-03",2021,4.584,89.24
"EASO-04",2013,14.951,96.45
"EASO-04",2014,12.712,96.85
"EASO-04",2015,13.552,96.92
"EASO-04",2016,7.927,95.34
"EASO-04",2017,9.364,95.44
"EASO-04",2018,15.528,97.13
"EASO-04",2019,15.731,97.06
"EASO-04",2020,15.042,96.85
"EASO-04",2021,19.154,96.64
"EASO-05",2013,17.227,98.16
"EASO-05",2014,11.463,93.97
"EASO-05",2015,12.478,93.58
"EASO-05",2016,7.623,88.71
"EASO-05",2017,8.494,93.6
"EASO-05",2018,12.689,93.72
"EASO-05",2019,14.679,93.68
"EASO-05",2020,17.09,95.57
"EASO-05",2021,22.813,98.91
"EASO-06",2013,13.839,95.84
"EASO-06",2014,14.331,96.03
"EASO-06",2015,12.594,96.18
"EASO-06",2016,8.795,90.11
"EASO-06",2017,11.865,96.85
"EASO-06",2018,15.381,97.86
"EASO-06",2019,14.493,95.62
"EASO-06",2020,17.68,97.56
"EASO-06",2021,18.705,97.55
"EASO-07",2013,7.841,84.48
"EASO-07",2014,6.769,88.47
"EASO-07",2015,3.498,83.58
"EASO-07",2016,1.812,50.69
"EASO-07",2017,2.38,44.81
"EASO-07",2018,3.842,63
"EASO-07",2019,2.776,61.65
"EASO-07",2020,3.463,62.04
"EASO-07",2021,2.552,55.56
"EASO-08",2013,6.335,87.3
"EASO-08",2014,6.229,86.46
"EASO-08",2015,5.512,84.99
"EASO-08",2016,2.812,65.48
"EASO-08",2017,3.501,69.02
"EASO-08",2018,5.088,84.75
"EASO-08",2019,3.645,75.45
"EASO-08",2020,4.541,76.31
"EASO-08",2021,4.107,75.9
"EASO-09",2013,6.537,93.29
"EASO-09",2014,7.309,95.28
"EASO-09",2015,5.153,89.35
"EASO-09",2016,3.657,89.85
"EASO-09",2017,3.766,78.99
"EASO-09",2018,3.571,69.9
"EASO-09",2019,4.572,91.91
"EASO-09",2020,5.964,92.27
"EASO-09",2021,5.296,92.04
"EASO-10",2013,8.354,90.46
"EASO-10",2014,9.661,93.33
"EASO-10",2015,5.729,64.36
"EASO-10",2016,6.538,73.14
"EASO-10",2017,7.187,88.18
"EASO-10",2018,9.729,95.66
"EASO-10",2019,5.388,58.59
"EASO-10",2020,6.287,84.08
"EASO-10",2021,6.581,82.72
"EASO-11",2013,8.724,90.83
