"Transect","year","date","start.time","presence","date.ord","moon.phase"
"EASO-01",2013,2013-03-26,"21:18",0,85,0.998
"EASO-01",2013,2013-04-13,"21:16",0,103,0.137
"EASO-01",2013,2013-05-13,"21:45",0,133,0.155
"EASO-01",2014,2014-04-08,"20:50",0,98,0.665
"EASO-01",2014,2014-04-09,"20:05",0,99,0.748
"EASO-01",2014,2014-05-06,"20:35",0,126,0.502
"EASO-01",2014,2014-05-15,"20:40",0,135,0.979
"EASO-01",2015,2015-04-08,"20:10",0,98,0.803
"EASO-01",2015,2015-04-24,"20:25",1,114,0.412
"EASO-01",2015,2015-05-07,"20:34",1,127,0.839
"EASO-01",2015,2015-05-17,"20:42",0,137,0.001
"EASO-01",2016,2016-02-03,"23:41",0,34,0.209
"EASO-01",2016,2016-04-07,"23:56",0,98,0.01
"EASO-01",2016,2016-05-04,"00:29",0,125,0.085
"EASO-01",2016,2016-05-24,"00:23",0,145,0.946
"EASO-01",2017,2017-03-16,"22:56",0,75,0.799
"EASO-01",2017,2017-04-06,"22:43",0,96,0.845
"EASO-01",2017,2017-05-03,"23:24",0,123,0.615
"EASO-01",2017,2017-05-29,"23:11",0,149,0.247
"EASO-01",2018,2018-03-16,"22:21",0,75,0.003
"EASO-01",2018,2018-04-05,"23:30",0,95,0.689
"EASO-01",2018,2018-04-25,"23:20",0,115,0.85
"EASO-01",2018,2018-05-26,"23:22",0,146,0.947
"EASO-01",2019,2019-03-17,"21:28",0,76,0.892
"EASO-01",2019,2019-04-09,"21:27",0,99,0.228
"EASO-01",2019,2019-04-20,"21:37",0,110,0.959
"EASO-01",2019,2019-05-18,"21:53",0,138,0.997
"EASO-01",2021,2021-03-23,"22:15",0,82,0.758
"EASO-01",2021,2021-04-19,"21:22",0,109,0.501
"EASO-01",2021,2021-05-01,"21:58",0,121,0.69
"EASO-02",2013,2013-03-30,"04:00",0,89,0.891
"EASO-02",2013,2013-04-27,"21:22",1,117,0.931
"EASO-02",2013,2013-05-12,"21:50",0,132,0.094
"EASO-02",2014,2014-03-02,"00:00",0,61,0.015
"EASO-02",2014,2014-04-10,"20:45",0,100,0.827
"EASO-02",2014,2014-04-28,"22:00",0,118,0
"EASO-02",2015,2015-03-31,"20:20",1,90,0.898
"EASO-02",2015,2015-04-28,"21:16",0,118,0.781
"EASO-02",2015,2015-05-03,"20:35",0,123,0.999
"EASO-02",2015,2015-05-21,"20:40",0,141,0.179
"EASO-02",2016,2016-04-07,"21:26",0,98,0.008
"EASO-02",2016,2016-04-11,"20:55",0,102,0.274
"EASO-02",2016,2016-04-23,"22:05",0,114,0.964
"EASO-02",2016,2016-05-12,"21:30",0,133,0.437
"EASO-02",2017,2017-03-27,"20:43",0,86,0.001
"EASO-02",2017,2017-04-11,"21:24",0,101,0.989
"EASO-02",2017,2017-05-03,"21:56",1,123,0.608
"EASO-02",2017,2017-05-19,"05:07",0,139,0.441
"EASO-02",2018,2018-03-29,"20:30",0,88,0.98
"EASO-02",2018,2018-04-10,"20:53",0,100,0.244
"EASO-02",2018,2018-05-06,"21:09",0,126,0.586
"EASO-02",2018,2018-05-25,"21:24",0,145,0.886
"EASO-02",2019,2019-04-08,"21:54",0,98,0.145
"EASO-02",2019,2019-05-13,"21:36",0,133,0.748
"EASO-02",2019,2019-05-17,"22:27",0,137,0.994
"EASO-02",2020,2020-05-04,"21:26",1,125,0.931
"EASO-02",2020,2020-05-10,"21:20",0,131,0.829
"EASO-04",2013,2013-03-07,"19:12",0,66,0.157
"EASO-04",2013,2013-04-20,"05:26",0,110,0.695
"EASO-04",2013,2013-05-20,"22:17",0,140,0.804
"EASO-04",2014,2014-04-01,"20:23",0,91,0.069
"EASO-04",2014,2014-04-24,"20:31",1,114,0.192
"EASO-04",2014,2014-05-13,"20:39",0,133,0.993
"EASO-04",2017,2017-03-31,"20:38",0,90,0.202
"EASO-04",2017,2017-04-21,"21:15",0,111,0.226
"EASO-04",2017,2017-04-28,"21:35",0,118,0.097
"EASO-04",2017,2017-05-12,"21:40",0,132,0.951
"EASO-04",2018,2018-03-22,"23:02",0,81,0.342
"EASO-04",2018,2018-04-10,"21:38",0,100,0.241
"EASO-04",2018,2018-05-01,"21:31",0,121,0.948
"EASO-04",2018,2018-05-20,"22:30",0,140,0.383
"EASO-04",2019,2019-04-02,"21:00",0,92,0.05
"EASO-04",2019,2019-04-16,"21:13",0,106,0.935
"EASO-04",2019,2019-05-12,"21:15",0,132,0.637
"EASO-04",2019,2019-05-24,"23:55",0,144,0.632
"EASO-04",2021,2021-04-03,"21:56",0,93,0.538
"EASO-04",2021,2021-04-24,"22:08",0,114,0.946
"EASO-04",2021,2021-05-14,"21:56",0,134,0.102
"EASO-04",2021,2021-05-27,"21:54",0,147,0.958
"EASO-06",2013,2013-04-07,"20:36",0,97,0.052
"EASO-06",2013,2013-04-29,"21:12",0,119,0.768
"EASO-06",2014,2014-03-05,"21:00",0,64,0.268
"EASO-06",2014,2014-04-14,"21:35",0,104,0.999
"EASO-06",2014,2014-05-03,"21:13",0,123,0.236
"EASO-06",2014,2014-05-19,"21:30",0,139,0.667
"EASO-06",2015,2015-03-31,"20:40",1,90,0.899
"EASO-06",2015,2015-04-12,"21:22",0,102,0.373
"EASO-06",2015,2015-04-25,"20:30",0,115,0.51
"EASO-06",2015,2015-04-30,"20:30",1,120,0.912
"EASO-06",2016,2016-04-20,"20:45",0,111,0.989
"EASO-06",2016,2016-04-21,"20:20",0,112,0.999
"EASO-06",2016,2016-05-05,"20:15",0,126,0.007
"EASO-06",2016,2016-05-15,"20:24",0,136,0.726
"EASO-06",2017,2017-04-05,"21:48",1,95,0.754
"EASO-06",2017,2017-04-12,"20:08",1,102,0.963
"EASO-06",2017,2017-04-16,"20:15",1,106,0.711
"EASO-06",2017,2017-04-27,"20:20",1,117,0.037
"EASO-06",2018,2018-04-04,"20:05",0,94,0.784
"EASO-06",2018,2018-04-11,"20:23",0,101,0.167
"EASO-06",2018,2018-04-19,"20:10",0,109,0.192
"EASO-06",2018,2018-04-24,"19:50",0,114,0.745
"EASO-06",2020,2020-03-29,"21:00",0,89,0.283
"EASO-06",2020,2020-04-14,"20:45",0,105,0.491
"EASO-06",2020,2020-05-01,"21:22",0,122,0.664
"EASO-06",2020,2020-05-22,"22:49",0,143,0.002
"EASO-06",2021,2021-03-31,"19:43",1,90,0.859
"EASO-06",2021,2021-04-11,"20:01",1,101,0.001
"EASO-06",2021,2021-04-17,"20:17",0,107,0.3
"EASO-06",2021,2021-04-22,"20:28",1,112,0.797
"EASO-08",2013,2013-05-15,"21:02",0,135,0.312
"EASO-08",2013,2013-05-21,"04:50",0,141,0.827
"EASO-08",2014,2014-03-31,"20:30",0,90,0.025
"EASO-08",2014,2014-04-10,"21:00",0,100,0.828
"EASO-08",2014,2014-04-18,"21:30",0,108,0.837
"EASO-08",2014,2014-05-05,"21:35",0,125,0.413
"EASO-08",2015,2015-03-31,"19:50",0,90,0.897
"EASO-08",2015,2015-05-21,"21:52",0,141,0.183
"EASO-08",2017,2017-03-27,"20:05",0,86,0.001
"EASO-08",2017,2017-04-11,"20:06",0,101,0.99
"EASO-08",2017,2017-05-14,"21:55",0,134,0.84
"EASO-08",2017,2017-05-16,"22:10",0,136,0.674
"EASO-08",2019,2019-03-09,"19:00",0,68,0.109
"EASO-08",2019,2019-05-13,"21:41",0,133,0.748
"EASO-08",2019,2019-05-17,"21:16",1,137,0.994
"EASO-08",2020,2020-03-30,"21:01",0,90,0.381
"EASO-08",2020,2020-04-27,"20:02",0,118,0.229
"EASO-08",2020,2020-05-15,"22:37",0,136,0.349
"EASO-08",2021,2021-03-25,"23:09",0,84,0.914
"EASO-08",2021,2021-04-18,"20:29",0,108,0.396
"EASO-08",2021,2021-04-29,"23:01",0,119,0.873
"EASO-08",2021,2021-05-20,"21:21",0,140,0.664
"EASO-09",2013,2013-03-27,"06:00",0,86,0.999
"EASO-09",2013,2013-04-11,"05:00",0,101,0.014
"EASO-09",2013,2013-05-20,"05:00",0,140,0.738
"EASO-09",2014,2014-03-11,"21:10",0,70,0.813
"EASO-09",2014,2014-03-14,"21:00",0,73,0.972
"EASO-09",2016,2016-05-23,"21:45",0,144,0.951
"EASO-09",2020,2020-03-07,"19:05",0,67,0.963
"EASO-09",2020,2020-03-23,"20:17",0,83,0.003
"EASO-09",2020,2020-04-08,"20:41",0,99,0.983
"EASO-09",2020,2020-05-10,"20:40",0,131,0.832
"EASO-10",2013,2013-03-10,"19:37",0,69,0.007
"EASO-10",2013,2013-05-17,"04:10",0,137,0.435
"EASO-10",2015,2015-03-18,"04:25",0,77,0.052
"EASO-10",2015,2015-04-10,"05:32",0,100,0.671
"EASO-10",2015,2015-04-23,"23:50",0,113,0.329
"EASO-10",2015,2015-05-01,"23:38",0,121,0.963
"EASO-10",2016,2016-04-07,"21:33",1,98,0.008
"EASO-10",2016,2016-04-24,"22:20",1,115,0.92
