"Transect","year","date","start.time","presence"
"EASO-01",2013,"2013-03-26","21:18",0
"EASO-01",2013,"2013-04-13","21:16",0
"EASO-01",2013,"2013-05-13","21:45",0
"EASO-01",2014,"2014-04-08","20:50",0
"EASO-01",2014,"2014-04-09","20:05",0
"EASO-01",2014,"2014-05-06","20:35",0
"EASO-01",2014,"2014-05-15","20:40",0
"EASO-01",2015,"2015-04-08","20:10",0
"EASO-01",2015,"2015-04-24","20:25",1
"EASO-01",2015,"2015-05-07","20:34",1
"EASO-01",2015,"2015-05-17","20:42",0
"EASO-01",2016,"2016-02-03","23:41",0
"EASO-01",2016,"2016-04-07","23:56",0
"EASO-01",2016,"2016-05-04","00:29",0
"EASO-01",2016,"2016-05-24","00:23",0
"EASO-01",2017,"2017-03-16","22:56",0
"EASO-01",2017,"2017-04-06","22:43",0
"EASO-01",2017,"2017-05-03","23:24",0
"EASO-01",2017,"2017-05-29","23:11",0
"EASO-01",2018,"2018-03-16","22:21",0
"EASO-01",2018,"2018-04-05","23:30",0
"EASO-01",2018,"2018-04-25","23:20",0
"EASO-01",2018,"2018-05-26","23:22",0
"EASO-01",2019,"2019-03-17","21:28",0
"EASO-01",2019,"2019-04-09","21:27",0
"EASO-01",2019,"2019-04-20","21:37",0
"EASO-01",2019,"2019-05-18","21:53",0
"EASO-01",2021,"2021-03-23","22:15",0
"EASO-01",2021,"2021-04-19","21:22",0
"EASO-01",2021,"2021-05-01","21:58",0
"EASO-02",2013,"2013-03-30","04:00",0
"EASO-02",2013,"2013-04-27","21:22",1
"EASO-02",2013,"2013-05-12","21:50",0
"EASO-02",2014,"2014-03-02","00:00",0
"EASO-02",2014,"2014-04-10","20:45",0
"EASO-02",2014,"2014-04-28","22:00",0
"EASO-02",2015,"2015-03-31","20:20",1
"EASO-02",2015,"2015-04-28","21:16",0
"EASO-02",2015,"2015-05-03","20:35",0
"EASO-02",2015,"2015-05-21","20:40",0
"EASO-02",2016,"2016-04-07","21:26",0
"EASO-02",2016,"2016-04-11","20:55",0
"EASO-02",2016,"2016-04-23","22:05",0
"EASO-02",2016,"2016-05-12","21:30",0
"EASO-02",2017,"2017-03-27","20:43",0
"EASO-02",2017,"2017-04-11","21:24",0
"EASO-02",2017,"2017-05-03","21:56",1
"EASO-02",2017,"2017-05-19","05:07",0
"EASO-02",2018,"2018-03-29","20:30",0
"EASO-02",2018,"2018-04-10","20:53",0
"EASO-02",2018,"2018-05-06","21:09",0
"EASO-02",2018,"2018-05-25","21:24",0
"EASO-02",2019,"2019-04-08","21:54",0
"EASO-02",2019,"2019-05-13","21:36",0
"EASO-02",2019,"2019-05-17","22:27",0
"EASO-02",2020,"2020-05-04","21:26",1
"EASO-02",2020,"2020-05-10","21:20",0
"EASO-04",2013,"2013-03-07","19:12",0
"EASO-04",2013,"2013-04-20","05:26",0
"EASO-04",2013,"2013-05-20","22:17",0
"EASO-04",2014,"2014-04-01","20:23",0
"EASO-04",2014,"2014-04-24","20:31",1
"EASO-04",2014,"2014-05-13","20:39",0
"EASO-04",2017,"2017-03-31","20:38",0
"EASO-04",2017,"2017-04-21","21:15",0
"EASO-04",2017,"2017-04-28","21:35",0
"EASO-04",2017,"2017-05-12","21:40",0
"EASO-04",2018,"2018-03-22","23:02",0
"EASO-04",2018,"2018-04-10","21:38",0
"EASO-04",2018,"2018-05-01","21:31",0
"EASO-04",2018,"2018-05-20","22:30",0
"EASO-04",2019,"2019-04-02","21:00",0
"EASO-04",2019,"2019-04-16","21:13",0
"EASO-04",2019,"2019-05-12","21:15",0
"EASO-04",2019,"2019-05-24","23:55",0
"EASO-04",2021,"2021-04-03","21:56",0
"EASO-04",2021,"2021-04-24","22:08",0
"EASO-04",2021,"2021-05-14","21:56",0
"EASO-04",2021,"2021-05-27","21:54",0
"EASO-06",2013,"2013-04-07","20:36",0
"EASO-06",2013,"2013-04-29","21:12",0
"EASO-06",2014,"2014-03-05","21:00",0
"EASO-06",2014,"2014-04-14","21:35",0
"EASO-06",2014,"2014-05-03","21:13",0
"EASO-06",2014,"2014-05-19","21:30",0
"EASO-06",2015,"2015-03-31","20:40",1
"EASO-06",2015,"2015-04-12","21:22",0
"EASO-06",2015,"2015-04-25","20:30",0
"EASO-06",2015,"2015-04-30","20:30",1
"EASO-06",2016,"2016-04-20","20:45",0
"EASO-06",2016,"2016-04-21","20:20",0
"EASO-06",2016,"2016-05-05","20:15",0
"EASO-06",2016,"2016-05-15","20:24",0
"EASO-06",2017,"2017-04-05","21:48",1
"EASO-06",2017,"2017-04-12","20:08",1
"EASO-06",2017,"2017-04-16","20:15",1
"EASO-06",2017,"2017-04-27","20:20",1
"EASO-06",2018,"2018-04-04","20:05",0
"EASO-06",2018,"2018-04-11","20:23",0
"EASO-06",2018,"2018-04-19","20:10",0
"EASO-06",2018,"2018-04-24","19:50",0
"EASO-06",2020,"2020-03-29","21:00",0
"EASO-06",2020,"2020-04-14","20:45",0
"EASO-06",2020,"2020-05-01","21:22",0
"EASO-06",2020,"2020-05-22","22:49",0
"EASO-06",2021,"2021-03-31","19:43",1
"EASO-06",2021,"2021-04-11","20:01",1
"EASO-06",2021,"2021-04-17","20:17",0
"EASO-06",2021,"2021-04-22","20:28",1
"EASO-08",2013,"2013-05-15","21:02",0
"EASO-08",2013,"2013-05-21","04:50",0
"EASO-08",2014,"2014-03-31","20:30",0
"EASO-08",2014,"2014-04-10","21:00",0
"EASO-08",2014,"2014-04-18","21:30",0
"EASO-08",2014,"2014-05-05","21:35",0
"EASO-08",2015,"2015-03-31","19:50",0
"EASO-08",2015,"2015-05-21","21:52",0
"EASO-08",2017,"2017-03-27","20:05",0
"EASO-08",2017,"2017-04-11","20:06",0
"EASO-08",2017,"2017-05-14","21:55",0
"EASO-08",2017,"2017-05-16","22:10",0
"EASO-08",2019,"2019-03-09","19:00",0
"EASO-08",2019,"2019-05-13","21:41",0
"EASO-08",2019,"2019-05-17","21:16",1
"EASO-08",2020,"2020-03-30","21:01",0
"EASO-08",2020,"2020-04-27","20:02",0
"EASO-08",2020,"2020-05-15","22:37",0
"EASO-08",2021,"2021-03-25","23:09",0
"EASO-08",2021,"2021-04-18","20:29",0
"EASO-08",2021,"2021-04-29","23:01",0
"EASO-08",2021,"2021-05-20","21:21",0
"EASO-09",2013,"2013-03-27","06:00",0
"EASO-09",2013,"2013-04-11","05:00",0
"EASO-09",2013,"2013-05-20","05:00",0
"EASO-09",2014,"2014-03-11","21:10",0
"EASO-09",2014,"2014-03-14","21:00",0
"EASO-09",2016,"2016-05-23","21:45",0
"EASO-09",2020,"2020-03-07","19:05",0
"EASO-09",2020,"2020-03-23","20:17",0
"EASO-09",2020,"2020-04-08","20:41",0
"EASO-09",2020,"2020-05-10","20:40",0
"EASO-10",2013,"2013-03-10","19:37",0
"EASO-10",2013,"2013-05-17","04:10",0
"EASO-10",2015,"2015-03-18","04:25",0
"EASO-10",2015,"2015-04-10","05:32",0
"EASO-10",2015,"2015-04-23","23:50",0
"EASO-10",2015,"2015-05-01","23:38",0
"EASO-10",2016,"2016-04-07","21:33",1
"EASO-10",2016,"2016-04-24","22:20",1
"EASO-10",2016,"2016-04-26","21:18",0
"EASO-10",2016,"2016-05-01","22:11",0
"EASO-10",2019,"2019-04-13","20:15",0
"EASO-10",2019,"2019-04-16","20:25",0
"EASO-10",2019,"2019-04-27","20:36",0
"EASO-10",2019,"2019-05-10","21:27",0
"EASO-10",2020,"2020-03-02","20:05",0
"EASO-10",2020,"2020-04-20","22:35",0
"EASO-10",2020,"2020-05-01","22:30",0
"EASO-11",2013,"2013-05-20","22:36",0
"EASO-11",2014,"2014-03-12","19:58",0
"EASO-11",2014,"2014-04-03","21:30",0
"EASO-11",2014,"2014-04-15","23:17",0
"EASO-11",2014,"2014-05-10","21:00",0
"EASO-11",2018,"2018-03-22","20:45",0
"EASO-11",2018,"2018-04-19","21:16",0
"EASO-11",2018,"2018-05-07","20:55",0
"EASO-11",2019,"2019-04-08","19:55",0
"EASO-11",2020,"2020-03-30","20:23",0
"EASO-11",2020,"2020-04-27","20:51",0
"EASO-11",2020,"2020-05-15","20:45",0
"EASO-11",2021,"2021-03-25","20:47",0
"EASO-11",2021,"2021-04-18","23:45",0
"EASO-11",2021,"2021-04-29","23:38",0
"EASO-11",2021,"2021-05-21","00:29",0
"EASO-12",2013,"2013-03-29","22:15",1
"EASO-12",2013,"2013-04-28","22:50",0
"EASO-12",2013,"2013-05-21","22:45",1
"EASO-12",2015,"2015-03-27","21:39",1
"EASO-12",2015,"2015-04-22","20:56",1
"EASO-12",2015,"2015-05-28","22:40",1
"EASO-12",2016,"2016-03-31","20:05",0
"EASO-12",2016,"2016-04-03","20:07",0
"EASO-12",2016,"2016-04-20","20:37",0
"EASO-12",2016,"2016-05-09","20:52",0
"EASO-12",2017,"2017-03-22","05:12",1
"EASO-12",2017,"2017-04-02","21:15",1
"EASO-12",2017,"2017-05-01","21:40",1
"EASO-12",2017,"2017-05-24","21:10",0
"EASO-12",2018,"2018-04-08","05:14",1
"EASO-12",2018,"2018-04-19","21:41",0
"EASO-12",2018,"2018-04-28","04:32",0
"EASO-12",2018,"2018-04-30","04:44",0
"EASO-12",2019,"2019-05-13","20:42",0
"EASO-12",2019,"2019-05-30","20:45",0
"EASO-12",2020,"2020-03-17","20:16",0
"EASO-12",2020,"2020-05-03","05:00",0
"EASO-12",2020,"2020-05-04","20:48",0
"EASO-12",2021,"2021-04-03","20:09",0
"EASO-12",2021,"2021-04-24","20:32",0
"EASO-12",2021,"2021-04-29","20:20",1
"EASO-12",2021,"2021-05-14","20:25",0
"EASO-15",2013,"2013-03-29","00:35",0
"EASO-15",2013,"2013-05-03","00:13",0
"EASO-15",2013,"2013-05-16","23:12",0
"EASO-15",2014,"2014-03-13","21:51",0
"EASO-15",2014,"2014-04-08","21:30",0
"EASO-15",2017,"2017-04-14","22:53",0
"EASO-15",2017,"2017-04-28","22:25",0
"EASO-15",2017,"2017-05-12","22:35",0
"EASO-15",2018,"2018-03-25","20:41",0
"EASO-15",2018,"2018-04-12","05:40",0
"EASO-15",2018,"2018-04-18","20:51",0
"EASO-15",2018,"2018-05-03","22:25",0
"EASO-15",2019,"2019-03-20","19:50",0
"EASO-15",2019,"2019-03-21","00:25",0
"EASO-15",2019,"2019-04-14","04:30",0
"EASO-15",2019,"2019-05-06","00:22",0
"EASO-15",2020,"2020-03-31","22:16",0
"EASO-15",2020,"2020-04-21","21:49",0
"EASO-15",2020,"2020-05-01","21:40",0
"EASO-15",2020,"2020-05-15","21:32",0
"EASO-15",2021,"2021-03-25","21:34",0
"EASO-15",2021,"2021-04-18","22:21",0
"EASO-15",2021,"2021-04-29","22:17",0
"EASO-15",2021,"2021-05-20","20:25",0
"EASO-16",2014,"2014-03-03","19:57",0
"EASO-16",2014,"2014-03-13","20:00",0
"EASO-16",2014,"2014-04-08","20:37",0
"EASO-16",2014,"2014-04-30","20:30",0
"EASO-16",2015,"2015-03-11","20:25",0
"EASO-16",2015,"2015-04-05","20:29",0
"EASO-16",2015,"2015-04-24","20:39",0
"EASO-16",2017,"2017-03-24","20:24",0
"EASO-16",2017,"2017-03-25","05:35",0
"EASO-16",2017,"2017-04-06","20:18",0
"EASO-16",2017,"2017-05-15","05:15",0
"EASO-16",2018,"2018-03-22","20:20",0
"EASO-16",2018,"2018-04-10","20:31",0
"EASO-16",2018,"2018-05-16","21:32",0
"EASO-17",2013,"2013-03-26","20:55",1
"EASO-17",2013,"2013-04-13","20:54",0
"EASO-17",2013,"2013-05-13","21:22",0
"EASO-17",2014,"2014-04-08","20:20",0
"EASO-17",2014,"2014-04-29","19:52",0
"EASO-17",2014,"2014-05-06","20:55",0
"EASO-17",2014,"2014-05-15","21:00",0
"EASO-17",2015,"2015-03-10","19:40",1
"EASO-17",2015,"2015-03-31","20:00",0
"EASO-17",2015,"2015-04-21","20:20",0
"EASO-17",2015,"2015-05-18","20:45",0
"EASO-17",2016,"2016-03-27","19:50",0
"EASO-17",2016,"2016-04-12","20:10",0
"EASO-17",2016,"2016-04-22","20:30",0
"EASO-17",2016,"2016-05-11","21:30",0
"EASO-17",2017,"2017-03-21","19:30",0
"EASO-17",2017,"2017-04-12","20:00",0
"EASO-17",2017,"2017-05-24","20:45",0
"EASO-17",2017,"2017-05-27","20:45",0
"EASO-17",2018,"2018-04-26","23:00",0
"EASO-17",2019,"2019-03-17","21:50",0
"EASO-17",2019,"2019-04-09","21:45",0
"EASO-17",2019,"2019-04-20","21:57",0
"EASO-17",2019,"2019-05-18","22:12",0
"EASO-17",2021,"2021-03-25","23:00",0
"EASO-17",2021,"2021-04-19","22:01",0
"EASO-17",2021,"2021-05-04","20:41",0
"EASO-18",2014,"2014-05-05","20:30",0
"EASO-18",2014,"2014-05-18","21:20",0
"EASO-18",2014,"2014-05-26","21:25",0
"EASO-18",2014,"2014-05-28","21:40",0
"EASO-18",2015,"2015-03-30","20:05",0
"EASO-18",2015,"2015-04-06","20:25",0
"EASO-18",2015,"2015-05-26","21:20",1
"EASO-18",2018,"2018-03-22","20:21",0
"EASO-18",2018,"2018-04-19","20:41",0
"EASO-18",2018,"2018-05-07","21:27",0
"EASO-18",2019,"2019-04-08","21:05",0
"EASO-18",2020,"2020-03-29","19:00",0
"EASO-18",2020,"2020-04-10","20:00",0
"EASO-18",2020,"2020-04-17","20:00",0
"EASO-18",2020,"2020-04-24","21:00",0
"EASO-20",2014,"2014-03-24","20:50",0
"EASO-20",2014,"2014-05-02","21:15",0
"EASO-20",2014,"2014-05-18","21:30",0
"EASO-20",2014,"2014-05-27","21:45",0
"EASO-20",2015,"2015-04-15","20:50",0
"EASO-20",2015,"2015-04-27","21:04",0
"EASO-20",2015,"2015-05-09","21:18",0
"EASO-20",2015,"2015-05-28","21:24",0
"EASO-20",2016,"2016-03-27","20:40",0
"EASO-20",2016,"2016-04-09","21:01",0
"EASO-20",2016,"2016-05-03","21:06",0
"EASO-20",2016,"2016-05-17","21:24",0
"EASO-20",2017,"2017-03-21","20:20",0
"EASO-20",2017,"2017-04-05","21:37",0
"EASO-20",2017,"2017-04-19","21:30",0
"EASO-20",2017,"2017-05-16","21:15",0
"EASO-20",2018,"2018-03-22","21:51",0
"EASO-20",2018,"2018-04-24","20:53",0
"EASO-20",2018,"2018-05-06","20:56",0
"EASO-20",2018,"2018-05-14","22:31",0
"EASO-20",2020,"2020-03-24","21:37",0
"EASO-20",2020,"2020-04-06","21:06",0
"EASO-20",2020,"2020-04-21","22:13",0
"EASO-20",2020,"2020-04-29","22:14",0
"EASO-22",2013,"2013-03-28","19:55",0
"EASO-22",2013,"2013-04-24","20:45",0
"EASO-22",2013,"2013-05-03","20:40",0
"EASO-22",2015,"2015-04-12","20:44",0
"EASO-22",2015,"2015-04-28","20:48",0
"EASO-22",2015,"2015-05-21","21:10",0
"EASO-22",2015,"2015-05-25","21:01",0
"EASO-22",2017,"2017-04-11","21:00",0
"EASO-22",2017,"2017-05-05","21:30",0
"EASO-22",2017,"2017-05-19","22:00",1
"EASO-22",2017,"2017-05-28","22:00",0
"EASO-22",2018,"2018-04-16","22:40",1
"EASO-22",2018,"2018-05-07","02:00",0
"EASO-22",2018,"2018-05-24","22:34",0
"EASO-22",2018,"2018-05-30","00:15",0
"EASO-22",2020,"2020-03-30","20:35",0
"EASO-22",2020,"2020-04-20","21:05",0
"EASO-22",2020,"2020-05-01","21:20",0
"EASO-23",2013,"2013-03-31","19:27",0
"EASO-23",2013,"2013-05-02","20:15",0
"EASO-23",2013,"2013-05-28","21:40",0
"EASO-23",2014,"2014-04-28","20:30",0
"EASO-23",2015,"2015-03-14","21:13",0
"EASO-23",2015,"2015-03-28","05:39",0
"EASO-23",2015,"2015-04-30","20:57",0
"EASO-23",2016,"2016-03-21","20:42",0
"EASO-23",2016,"2016-04-09","21:19",0
"EASO-23",2016,"2016-04-23","22:12",0
"EASO-23",2016,"2016-05-29","04:50",0
"EASO-23",2017,"2017-03-08","21:27",0
